je_number,posting_date,account_code,account_name,account_type,debit_amount,credit_amount,description,posted_by,approval_status
JE01000,2023-01-28,5100,Salaries and Wages,Expense,458365.61,0.0,Monthly payroll,jsmith,Approved
JE01000,2023-01-28,2001,Accounts Payable,Liability,0.0,458365.61,Monthly payroll offset,jsmith,Approved
JE01001,2023-01-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
JE01001,2023-01-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01002,2023-01-28,1100,Accounts Receivable,Asset,1470012.31,0.0,Monthly revenue accrual,sys_batch,Approved
JE01002,2023-01-28,4001,Revenue - Product Sales,Revenue,0.0,1215006.45,Monthly product revenue,sys_batch,Approved
JE01002,2023-01-28,4100,Revenue - Service Fees,Revenue,0.0,255005.86,Monthly service revenue,sys_batch,Approved
JE01003,2023-01-28,5001,Cost of Goods Sold,Expense,695373.8,0.0,Monthly COGS,sys_batch,Approved
JE01003,2023-01-28,1001,Cash and Cash Equivalents,Asset,0.0,695373.8,COGS cash offset,sys_batch,Approved
JE01004,2023-01-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01004,2023-01-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01005,2023-02-28,5100,Salaries and Wages,Expense,464188.27,0.0,Monthly payroll,jsmith,Approved
JE01005,2023-02-28,2001,Accounts Payable,Liability,0.0,464188.27,Monthly payroll offset,jsmith,Approved
JE01006,2023-02-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
JE01006,2023-02-28,2001,Accounts Payable,Liability,0.0,38500.0,Monthly rent offset,avanwyk,Approved
JE01007,2023-02-28,1100,Accounts Receivable,Asset,1984455.5999999999,0.0,Monthly revenue accrual,sys_batch,Approved
JE01007,2023-02-28,4001,Revenue - Product Sales,Revenue,0.0,1606019.69,Monthly product revenue,sys_batch,Approved
JE01007,2023-02-28,4100,Revenue - Service Fees,Revenue,0.0,378435.91,Monthly service revenue,sys_batch,Approved
JE01008,2023-02-28,5001,Cost of Goods Sold,Expense,897273.38,0.0,Monthly COGS,sys_batch,Approved
JE01008,2023-02-28,1001,Cash and Cash Equivalents,Asset,0.0,897273.38,COGS cash offset,sys_batch,Approved
JE01009,2023-02-28,5700,Depreciation Expense,Expense,12500.0,0.0,Monthly depreciation,mkhumalo,Approved
JE01009,2023-02-28,1600,Accumulated Depreciation,Asset,0.0,12500.0,Monthly depreciation offset,mkhumalo,Approved
JE01010,2023-03-28,5100,Salaries and Wages,Expense,445315.31,0.0,Monthly payroll,jsmith,Approved
JE01010,2023-03-28,2001,Accounts Payable,Liability,0.0,445315.31,Monthly payroll offset,jsmith,Approved
JE01011,2023-03-28,5200,Rent Expense,Expense,38500.0,0.0,Monthly rent - V010,avanwyk,Approved
