je_number,business_unit,cost_center,manual_journal_flag,supporting_doc_attached,prior_period_adjustment,segregation_of_duties_flag,risk_rating
JE01000,Human Resources,CC-601,Yes,No,No,Yes,
JE01001,Operations,CC-201,Yes,No,No,Yes,High
JE01002,Sales,CC-301,No,No,No,No,High
JE01003,Procurement,CC-401,No,No,No,No,High
JE01004,Finance,CC-101,Yes,No,No,No,Medium
JE01005,Human Resources,CC-601,Yes,Yes,No,Yes,Medium
JE01006,Operations,CC-201,Yes,Yes,No,No,Low
JE01007,Sales,CC-301,No,Yes,No,No,Medium
JE01008,Procurement,CC-402,No,Yes,No,No,
JE01009,Finance,CC-102,Yes,Yes,No,No,Low
JE01010,Human Resources,CC-601,Yes,Yes,No,No,Low
JE01011,Operations,CC-201,Yes,Yes,No,No,Low
JE01012,Sales,CC-301,No,Yes,No,No,Medium
JE01013,Procurement,CC-402,No,Yes,No,No,
JE01014,Finance,CC-101,Yes,Yes,No,No,Low
JE01015,Human Resources,CC-601,Yes,Yes,No,No,Low
JE01016,Operations,CC-202,Yes,Yes,No,No,Low
JE01017,Sales,CC-301,No,Yes,No,No,Low
JE01018,Procurement,CC-401,No,Yes,No,No,Low
JE01019,Finance,CC-101,Yes,Yes,No,No,Low
JE01020,Human Resources,CC-601,Yes,No,No,Yes,
JE01021,Operations,CC-202,Yes,No,No,Yes,High
JE01022,Sales,CC-301,No,Yes,No,No,Medium
JE01023,Procurement,CC-401,No,Yes,No,No,Medium
JE01024,Finance,CC-101,Yes,No,No,No,Medium
JE01025,Human Resources,CC-601,Yes,Yes,No,No,Medium
JE01026,Operations,CC-202,Yes,Yes,No,No,Low
JE01027,Sales,CC-301,No,Yes,No,No,Low
JE01028,Procurement,CC-402,No,Yes,No,No,Medium
JE01029,Finance,CC-101,Yes,No,No,Yes,
JE01030,Human Resources,CC-601,Yes,Yes,No,No,Low
JE01031,Operations,CC-202,Yes,Yes,No,No,Low
JE01032,Sales,CC-301,No,Yes,No,No,Low
JE01033,Procurement,CC-402,No,Yes,No,No,Low
JE01034,Finance,CC-102,Yes,Yes,No,Yes,Medium
JE01035,Human Resources,CC-601,Yes,No,No,No,Medium
JE01036,Operations,CC-202,Yes,No,No,No,Medium
JE01037,Sales,CC-301,No,Yes,No,No,Low
JE01038,Procurement,CC-401,No,Yes,No,No,Medium
JE01039,Finance,CC-102,Yes,Yes,Yes,Yes,Medium
JE01040,Human Resources,CC-601,Yes,Yes,No,No,
JE01041,Operations,CC-202,Yes,No,No,No,Medium
JE01042,Sales,CC-301,No,Yes,No,No,Medium
JE01043,Procurement,CC-401,No,Yes,No,No,Low
JE01044,Finance,CC-101,Yes,No,No,No,
JE01045,Human Resources,CC-601,Yes,No,No,Yes,High
JE01046,Operations,CC-202,Yes,No,No,No,Medium
JE01047,Sales,CC-301,No,Yes,No,No,Medium
JE01048,Procurement,CC-402,No,No,No,No,High
JE01049,Finance,CC-101,Yes,Yes,No,No,
JE01050,Human Resources,CC-601,Yes,Yes,No,No,Low
