account_code,account_name,account_type,sub_category,total_debits,total_credits,net_balance,period_end
1001,Cash and Cash Equivalents,Asset,Current Asset,0.0,10298100.63,-10298100.63,2023-12-31
1100,Accounts Receivable,Asset,Current Asset,20947878.4,0.0,20947878.4,2023-12-31
1200,Prepaid Expenses,Asset,Current Asset,0.0,0.0,0.0,2023-12-31
1500,Property Plant and Equipment,Asset,Non-Current Asset,0.0,0.0,0.0,2023-12-31
1600,Accumulated Depreciation,Asset,Non-Current Asset,0.0,150000.0,-150000.0,2023-12-31
2001,Accounts Payable,Liability,Current Liability,0.0,19584267.66,-19584267.66,2023-12-31
2100,Accrued Liabilities,Liability,Current Liability,0.0,0.0,0.0,2023-12-31
2200,Short-Term Borrowings,Liability,Current Liability,0.0,0.0,0.0,2023-12-31
2500,Long-Term Debt,Liability,Non-Current Liability,0.0,0.0,0.0,2023-12-31
3001,Share Capital,Equity,Equity,0.0,0.0,0.0,2023-12-31
3100,Retained Earnings,Equity,Equity,0.0,0.0,0.0,2023-12-31
4001,Revenue - Product Sales,Revenue,Revenue,0.0,17416992.93,-17416992.93,2023-12-31
4100,Revenue - Service Fees,Revenue,Revenue,0.0,3530885.47,-3530885.47,2023-12-31
5001,Cost of Goods Sold,Expense,Cost of Sales,13182335.58,0.0,13182335.58,2023-12-31
5100,Salaries and Wages,Expense,Operating Expense,5448319.19,0.0,5448319.19,2023-12-31
5200,Rent Expense,Expense,Operating Expense,1212987.42,0.0,1212987.42,2023-12-31
5300,Utilities Expense,Expense,Operating Expense,722010.15,0.0,722010.15,2023-12-31
5400,Marketing and Advertising,Expense,Operating Expense,832890.01,0.0,832890.01,2023-12-31
5500,Professional Fees,Expense,Operating Expense,4810247.16,0.0,4810247.16,2023-12-31
5600,Travel and Entertainment,Expense,Operating Expense,1888092.84,0.0,1888092.84,2023-12-31
5700,Depreciation Expense,Expense,Operating Expense,150000.0,0.0,150000.0,2023-12-31
5800,Miscellaneous Expense,Expense,Operating Expense,1785485.94,0.0,1785485.94,2023-12-31
